City,AverageTemperature,Rainfall,Cloudiness,Population,Continent,

Yakutsk,Freezing(<0C°),Arid(<250mm),Mostlycloudy(20-40%),Medium(200.000-1.000.000),Asia
Oslo,Cold(0C°-10C°),Moderate(500mm-1000mm),Mostlycloudy(20-40%),Medium(200.000-1.000.000),Europe
Istanbul,Cool(10C°-18C°),Moderate(500mm-1000mm),Mostlyclear(60-80%),Mega(>10.000.000),Europe
Cairo,Warm(18C°-24C°),Arid(<250mm),Veryclear(>80%),Mega(>10.000.000),Africa
Bankok,Hot(24C°>),Moderate(500mm-1000mm),Mostlycloudy(20-40%),Mega(>10.000.000),Asia
Denver,Cool(10C°-18C°),Dry(250mm-500mm),Mostlyclear(60-80%),Verylarge(5.000.000-10.000.000),Namerica
Kuching,Hot(24C°>),Verywet(2000mm>),Verycloudy(0-20%),Medium(200.000-1.000.000),Asia
Ronda,Cool(10C°-18C°),Dry(250mm-500mm),Mostlyclear(60-80%),Tiny(<50.000),Europe
Innsbruck,Cold(0C°-10C°),Moderate(500mm-1000mm),Balanced(40-60%),Small(50.000-200.000),Europe
Osaka,Cool(10C°-18C°),Wet(1000mm-2000mm),Balanced(40-60%),Large(1.000.000-5.000.000),Asia
Rio,Hot(24C°>),Wet(1000mm-2000mm),Balanced(40-60%),Verylarge(5.000.000-10.000.000),Samerica
Sydney,Warm(18C°-24C°),Moderate(500mm-1000mm),Mostlyclear(60-80%),Large(1.000.000-5.000.000),Oceania
Mexicocity,Cool(10C°-18C°),Moderate(500mm-1000mm),Balanced(40-60%),Verylarge(5.000.000-10.000.000),Namerica
Newyorkcity,Cool(10C°-18C°),Wet(1000mm-2000mm),Balanced(40-60%),Verylarge(5.000.000-10.000.000),Namerica
Toronto,Cold(0C°-10C°),Dry(250mm-500mm),Balanced(40-60%),Large(1.000.000-5.000.000),Namerica
Montreal,Cold(0C°-10C°),Moderate(500mm-1000mm),Balanced(40-60%),Large(1.000.000-5.000.000),Namerica
Saopaulo,Warm(18C°-24C°),Wet(1000mm-2000mm),Balanced(40-60%),Mega(>10.000.000),Samerica
Lima,Warm(18C°-24C°),Arid(<250mm),Balanced(40-60%),Mega(>10.000.000),Samerica
Bogota,Cool(10C°-18C°),Wet(1000mm-2000mm),Verycloudy(0-20%),Verylarge(5.000.000-10.000.000),Samerica
Santiago,Cool(10C°-18C°),Dry(250mm-500mm),Mostlyclear(60-80%),Verylarge(5.000.000-10.000.000),Samerica
Shanghai,Cool(10C°-18C°),Moderate(500mm-1000mm),Balanced(40-60%),Mega(>10.000.000),Asia
Barcelona,Cool(10C°-18C°),Dry(250mm-500mm),Mostlyclear(60-80%),Large(1.000.000-5.000.000),Europe
Melbourne,Cool(10C°-18C°),Moderate(500mm-1000mm),Mostlyclear(60-80%),Verylarge(5.000.000-10.000.000),Oceania
Auckland,Cool(10C°-18C°),Moderate(500mm-1000mm),Mostlyclear(60-80%),Large(1.000.000-5.000.000),Oceania
Christchurch,Cool(10C°-18C°),Moderate(500mm-1000mm),Balanced(40-60%),Medium(200.000-1.000.000),Oceania
Portmoresby,Hot(24C°>),Wet(1000mm-2000mm),Mostlycloudy(20-40%),Medium(200.000-1.000.000),Oceania
Capetown,Cool(10C°-18C°),Dry(250mm-500mm),Mostlyclear(60-80%),Large(1.000.000-5.000.000),Africa
Lunda,Hot(24C°>),Dry(250mm-500mm),Balanced(40-60%),Verylarge(5.000.000-10.000.000),Africa
Kampala,Warm(18C°-24C°),Wet(1000mm-2000mm),Mostlycloudy(20-40%),Large(1.000.000-5.000.000),Africa
Ouagadougou,Hot(24C°>),Moderate(500mm-1000mm),Balanced(40-60%),Large(1.000.000-5.000.000),Africa
